"Implicit narrowing conversion in compound assignment"	"Compound assignment statements (for example 'intvar += longvar') that implicitly cast a value of a wider type to a narrower type may result in information loss and numeric errors such as overflows."	"warning"	"Implicit cast of source type long to narrower destination type int."	"/app/src/main/java/org/signal/glide/common/io/StreamReader.java"	"51"	"9"	"51"	"23"
"Implicit narrowing conversion in compound assignment"	"Compound assignment statements (for example 'intvar += longvar') that implicitly cast a value of a wider type to a narrower type may result in information loss and numeric errors such as overflows."	"warning"	"Implicit cast of source type long to narrower destination type int."	"/app/src/main/java/org/thoughtcrime/securesms/backup/FullBackupExporter.java"	"155"	"7"	"155"	"60"
"Implicit narrowing conversion in compound assignment"	"Compound assignment statements (for example 'intvar += longvar') that implicitly cast a value of a wider type to a narrower type may result in information loss and numeric errors such as overflows."	"warning"	"Implicit cast of source type long to narrower destination type int."	"/app/src/main/java/org/thoughtcrime/securesms/jobs/MmsSendJob.java"	"280"	"7"	"280"	"31"
"Implicit narrowing conversion in compound assignment"	"Compound assignment statements (for example 'intvar += longvar') that implicitly cast a value of a wider type to a narrower type may result in information loss and numeric errors such as overflows."	"warning"	"Implicit cast of source type long to narrower destination type int."	"/app/src/main/java/org/thoughtcrime/securesms/jobs/MmsSendJob.java"	"311"	"9"	"311"	"33"
"Uncontrolled data used in path expression"	"Accessing paths influenced by users can allow an attacker to access unexpected resources."	"error"	"This path depends on a [[""user-provided value""|""relative:///app/src/main/java/org/thoughtcrime/securesms/conversation/ConversationParentFragment.java:673:67:673:77""]]."	"/app/src/main/java/org/thoughtcrime/securesms/providers/BlobProvider.java"	"158"	"28"	"158"	"96"
"Uncontrolled data used in path expression"	"Accessing paths influenced by users can allow an attacker to access unexpected resources."	"error"	"This path depends on a [[""user-provided value""|""relative:///app/src/main/java/org/thoughtcrime/securesms/conversation/ConversationParentFragment.java:673:67:673:77""]]."	"/app/src/main/java/org/thoughtcrime/securesms/util/storage/FileStorage.java"	"54"	"22"	"54"	"50"
"Using a static initialization vector for encryption"	"An initialization vector (IV) used for ciphers of certain modes (such as CBC or GCM) should be unique and unpredictable, to maximize encryption and prevent dictionary attacks."	"warning"	"A [[""static initialization vector""|""relative:///app/src/main/java/org/thoughtcrime/securesms/crypto/ModernEncryptingPartOutputStream.java:42:43:42:54""]] should not be used for encryption."	"/app/src/main/java/org/thoughtcrime/securesms/crypto/ModernEncryptingPartOutputStream.java"	"46"	"71"	"46"	"93"
"Using a static initialization vector for encryption"	"An initialization vector (IV) used for ciphers of certain modes (such as CBC or GCM) should be unique and unpredictable, to maximize encryption and prevent dictionary attacks."	"warning"	"A [[""static initialization vector""|""relative:///app/src/main/java/org/thoughtcrime/securesms/database/loaders/DeviceListLoader.java:107:95:107:106""]] should not be used for encryption."	"/app/src/main/java/org/thoughtcrime/securesms/database/loaders/DeviceListLoader.java"	"107"	"75"	"107"	"107"
"Using a static initialization vector for encryption"	"An initialization vector (IV) used for ciphers of certain modes (such as CBC or GCM) should be unique and unpredictable, to maximize encryption and prevent dictionary attacks."	"warning"	"A [[""static initialization vector""|""relative:///app/src/main/java/org/thoughtcrime/securesms/glide/cache/EncryptedCoder.java:43:43:43:54""]] should not be used for encryption."	"/app/src/main/java/org/thoughtcrime/securesms/glide/cache/EncryptedCoder.java"	"47"	"71"	"47"	"93"
"Using a static initialization vector for encryption"	"An initialization vector (IV) used for ciphers of certain modes (such as CBC or GCM) should be unique and unpredictable, to maximize encryption and prevent dictionary attacks."	"warning"	"A [[""static initialization vector""|""relative:///app/src/main/java/org/thoughtcrime/securesms/glide/cache/EncryptedCoder.java:78:20:78:31""]] should not be used for encryption."	"/app/src/main/java/org/thoughtcrime/securesms/glide/cache/EncryptedCoder.java"	"82"	"71"	"82"	"93"
"Using a static initialization vector for encryption"	"An initialization vector (IV) used for ciphers of certain modes (such as CBC or GCM) should be unique and unpredictable, to maximize encryption and prevent dictionary attacks."	"warning"	"A [[""static initialization vector""|""relative:///libsignal/service/src/main/java/org/whispersystems/signalservice/api/crypto/AttachmentCipherInputStream.java:176:25:176:47""]] should not be used for encryption.  A [[""static initialization vector""|""relative:///libsignal/service/src/main/java/org/whispersystems/signalservice/api/crypto/AttachmentCipherInputStream.java:222:32:222:50""]] should not be used for encryption."	"/core-util/src/main/java/org/signal/core/util/logging/LogFile.java"	"125"	"78"	"125"	"106"
